consulta	nombre	categoria	direccion	pagina_web	telefono
carniceria	Carnes Pego	Carnicerias	Av El Molo 174 San Antonio - V Región	NA	(+56)352234625
carniceria	Chanchito a la Chilena	Carnicerias	Serrano 180 Limache - V Región	NA	(+56)332412179
carniceria	Panchito	Carnicerias	Pje Capitán Raimundo Morris 22 Chiguayante - VIII Región	NA	(+56)412359310
carniceria	Carniceria Palena	Carnicerias	Av Santa Teresa 16 Los Andes - V Región	NA	(+56)342424075
carniceria	El Gallo	Carnicerias	Claudio Arrau León 185 Viña del Mar - V Región	NA	(+56)322876458
carniceria	Carniceria los Panchos	Carnicerias	Palena 960 ESTACIÓN Central - RM	NA	(+56)227422606
carniceria	Carniceria Don Pedro	Carnicerias	Av Ramón Freire 112 Quillota - V Región	NA	(+56)332313455
carniceria	Carniceria Don Ramon	Carnicerias	Maipón 23 Chillán - XVI Región	NA	(+56)422230185
carniceria	Carniceria Santa Anita	Carnicerias	Mercado Municipal 0 Chillán - XVI Región	NA	(+56)422220765
carniceria	Carniceria D&V	Carnicerias	Nicasio Alarcón 605 Ranquil - XVI Región	NA	(+56)421970262
carniceria	Carniceria la Granja	Carnicerias	Balmaceda 365 El Carmen - XVI Región	www.facebook.com/carniceriayfrabricadececinaslagranja	(+56)422661115
carniceria	Overo Colorado	Carnicerias	San Martín 102 Los Muermos - X Región	NA	(+56)959007055
carniceria	Carnicerias San Agustin	Carnicerias	Av Progreso 2000 Iquique - I Región	NA	(+56)572439118
carniceria	Carnicería de Equinos la Hacienda	Carnicerias	Ejército 970 Concepción - VIII Región	NA	(+56)412910159
carniceria	Carniceria y Rotiseria Rameirez	Carnicerias	Villa Alegre 854 Temuco - IX Región	www.carniceriayrotiseriaramirez.cl	(+56)452334085
carniceria	Carnes Monte Cristo	Carnicerias	Pje Gioto 3281 PUENTE Alto - RM	NA	(+56)229805781
carniceria	Ganadera Temuco	Carnicerias	Av Las Torres 830 MAIPÚ - RM	NA	(+56)227418700
carniceria	Luis Abarca y Compania Limitada	Carnicerias	Franklin 888 SANTIAGO - RM	NA	(+56)225510015
carniceria	Carniceria Maruca	Carnicerias	Las Torres 025 SAN Bernardo - RM	NA	(+56)228573104
carniceria	Garces Varela Hnos. & Cia Limitada	Carnicerias	Av Las Flores 20217 PUDAHUEL - RM	NA	(+56)226976195
carniceria	Atala Moya Maria y Moya Meris Marina	Carnicerias	Franklin 840 SANTIAGO - RM	NA	(+56)225551019
carniceria	Urrutia Hnos	Carnicerias	Buenos Aires 271 RECOLETA - RM	NA	(+56)223699979
carniceria	Carniceria S & Z	Carnicerias	Av Dgo Santa María 2529 INDEPENDENCIA - RM	NA	(+56)982298334
