consulta	nombre	categoria	direccion	pagina_web	telefono
ferreteria	Kajimat	Cañerias De Cobre Y Bronce	Maule 467 SANTIAGO - RM	www.kajimat.cl	(56)229041020
ferreteria	Electricidad Talca	Articulos Electricos	5 Sur 1779 Talca - VII Región	NA	(56)712239525
ferreteria	Electricidad San Fernando	Electricistas	Negrete 997 San Fernando - VI Región	www.esf.cl	(56)722720646
ferreteria	Pinturerias Amanecer	Pinturas	Av. 5 de Abril 205 MAIPÚ - RM	www.pintureriasamanecer.cl	(56)225327089
ferreteria	Punto Color	Pinturas Para Vehiculos	Carnot 806 SAN Miguel - RM	www.puntocolor.cl	(56)981493832
ferreteria	Stihl Motosierras	Motosierras	Alcázar 999 Collipulli - IX Región	www.imfosur.cl	(56)452463489
ferreteria	Comsoser	Pernos	Lota 201 Puerto Montt - X Región	www.comsoser.cl	(56)652349566
ferreteria	Áridos Carrasco	Arriendo De Maquinarias	Cno. a Lonquén Sur Parcela 40 Paradero 40 TALAGANTE - RM	www.aridoscarrascos.cl	(56)228559317
ferreteria	Metalvar	Ferreterias	Av Pablo Neruda 218 Curepto - VII Región	NA	(56)752690141
ferreteria	Ferreteria y Materiales de Construccion Pepe Farema	Ferreterias	Av Pdte J J Prieto V 356 PAINE - RM	www.ferreteriapepefarema.cl	(56)228249979
ferreteria	Ferreteria Hitel	Ferreterias	B. Vicuña Mackenna 957 San Carlos - VIII Región	NA	(56)422413973
ferreteria	Ferreteria Kiko	Ferreterias	Aconcagua 2281 COLINA - RM	NA	(56)228442140
ferreteria	Ferreteria Orompello	Ferreterias	Orompello 551 Los Angeles - VIII Región	NA	(56)432325376
ferreteria	Ferreteria San Alfonso	Ferreterias	Cno San Ignacio 1253 PADRE Hurtado - RM	NA	(56)228113047
ferreteria	Centro Ferretero  Contremir	Ferreterias	Jorge Alessandi 97 Quillón - VIII Región	NA	(56)971393287
ferreteria	Ferreteria Tobalaba	Ferreterias	Francisco Bilbao 3092 PROVIDENCIA - RM	NA	(56)222096507
ferreteria	Ferreteria Ancava	Ferreterias	Aguas Claras 1585 LA Reina - RM	NA	(56)222278916
ferreteria	Ferreteria Gran Avenida	Ferreterias	Av Gran Av.José Miguel Carrera 6370 LA Cisterna - RM	NA	(56)225257867
ferreteria	Ferreteria Nina	Ferreterias	Av Diego Portales 264 LA Florida - RM	NA	(56)222954065
